ekran	durum	tur	oran	zemin	on	yol	metin
ana-ayarlar	edilgen	yazi	3.81	#131417	#71717A	CheckBox > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @PlayerAdvancedPanel#PlayerAdvancedPanel	Deinterlace
ana-ayarlar	edilgen	yazi	3.81	#0A1613	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabControl#Tabs	Convert
ana-kucult	edilgen	yazi	3.82	#131417	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnBrowseEmpty	Browse
ana-kucult	edilgen	yazi	3.82	#121417	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#Chip100	100
ana-kaydedici	edilgen	yazi	3.82	#131417	#71717A	RadioButton#RadManual > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RadManual	I will pick the settings myself
ana-kaydedici	edilgen	yazi	3.82	#131417	#71717A	CheckBox#ChkShowKeys > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkShowKeys	Show Pressed Keys
ana-kucult	edilgen	simge	3.83	#131317	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphPlanReasons @Button#BtnPlanReasons	GlyphPlanReasons
ana-kucult	edilgen	yazi	3.84	#121316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#Chip25	25
ana-kaydedici	edilgen	yazi	3.84	#131316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAutoMeasure	Measure Again
ana-gelismis	edilgen	yazi	3.84	#121316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @ScrollViewer#PageAdvanced	Apply Pasted JSON
ana-ayarlar	edilgen	yazi	3.84	#121316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnBrowseOutputFolder	Browse…
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#ChipHalf	Half
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#Chip8	8
ana-kucult	edilgen	yazi	3.85	#111316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#ChipWhatsApp	16
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	RadioButton#RbCodecCompatible > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbCodecCompatible	H.264 (Compatible)
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	RadioButton#RbCodecSmallest > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbCodecSmallest	AV1 (Smallest)
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	RadioButton#RbFillCeiling > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFillCeiling	Stay at Quality Ceiling
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	RadioButton#RbHdrSdr > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbHdrSdr	Convert to SDR
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	CheckBox#ChkAdvKeepTracks > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkAdvKeepTracks	Keep All Tracks (MKV)
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	CheckBox#ChkFps > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkFps	May Lower Frame Rate
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	RadioButton#RbFixed480 > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFixed480	480p
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	RadioButton#RbAdvModeTwoPass > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbAdvModeTwoPass	Two-pass
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	RadioButton#RbAdvPathHardware > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbAdvPathHardware	Hardware
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	CheckBox#ChkFltDetelecine > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkFltDetelecine	Detelecine
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	CheckBox#ChkFltDeblock > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkFltDeblock	Deblock
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	CheckBox#ChkFltDeband > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkFltDeband	Deband
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	CheckBox#ChkFltGray > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkFltGray	Grayscale
ana-kucult	edilgen	yazi	3.85	#121316	#71717A	CheckBox#ChkFltAutoCrop > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkFltAutoCrop	Crop Black Bars
ana-kaydedici	edilgen	yazi	3.85	#121316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnRecShareCopy	Copy
ana-kaydedici	edilgen	yazi	3.85	#121316	#71717A	CheckBox#ChkMagnifier > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkMagnifier	Cursor Magnifier
ana-gelismis	edilgen	yazi	3.85	#121316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnRevert	Back to automatic
ana-ayarlar	edilgen	yazi	3.85	#111316	#71717A	RadioButton#RbFfmpegManual > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFfmpegManual	Manual
ana-kucult	edilgen	yazi	3.86	#121316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#ChipAddPreset	+
ana-kucult	edilgen	yazi	3.86	#111216	#71717A	CheckBox#ChkAudioLoudnorm > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkAudioLoudnorm	Normalize Loudness (EBU R128)
ana-kucult	edilgen	yazi	3.86	#111216	#71717A	RadioButton#RbFixed720 > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFixed720	720p
ana-kucult	edilgen	yazi	3.86	#111216	#71717A	RadioButton#RbFltDenoiseHq > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFltDenoiseHq	hqdn3d
ana-kucult	edilgen	yazi	3.86	#111216	#71717A	RadioButton#RbFltStrStrong > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFltStrStrong	Strong
ana-kaydedici	edilgen	yazi	3.86	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnReveal	Show in Folder
ana-kaydedici	edilgen	yazi	3.86	#111316	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnToPlayer	Open in Player
ana-gelismis	edilgen	simge	3.86	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphAiDetails @Button#BtnAiDetails	GlyphAiDetails
ana-gelismis	edilgen	yazi	3.86	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnPerformanceRun	Run the Check
ana-ayarlar	edilgen	yazi	3.86	#111216	#71717A	RadioButton#RbOutputFixed > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbOutputFixed	Fixed Folder
ana-ayarlar	edilgen	yazi	3.86	#121216	#71717A	RadioButton#RbFfmpegAuto > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFfmpegAuto	Automatic
ana-oynatici	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAppliedDismiss	×
ana-oynatici	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeDismiss	×
ana-kucult	edilgen	yazi	3.87	#111215	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @ScrollViewer#PageShrink	Browse
ana-kucult	edilgen	yazi	3.87	#121216	#71717A	Grid > ContentControl#SelectionBox > ContentPresenter#PART_ContentPresenter > TextBlock @ContentControl#SelectionBox	Automatic
ana-kucult	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAppliedDismiss	×
ana-kucult	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeDismiss	×
ana-donustur	edilgen	yazi	3.87	#121216	#71717A	Grid > ContentControl#SelectionBox > ContentPresenter#PART_ContentPresenter > TextBlock @ContentControl#SelectionBox	MP4
ana-donustur	edilgen	yazi	3.87	#121216	#71717A	ScrollViewer#PART_ScrollViewer > Grid > ScrollContentPresenter#PART_ContentPresenter > TextPresenter#PART_TextPresenter @ScrollViewer#PART_ScrollViewer	1280x720
ana-donustur	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAppliedDismiss	×
ana-donustur	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeDismiss	×
ana-kaydedici	edilgen	yazi	3.87	#121216	#71717A	Grid > ContentControl#SelectionBox > ContentPresenter#PART_ContentPresenter > TextBlock @ContentControl#SelectionBox	Whole Screen
ana-kaydedici	edilgen	yazi	3.87	#121216	#71717A	ScrollViewer#PART_ScrollViewer > Grid > ScrollContentPresenter#PART_ContentPresenter > TextPresenter#PART_TextPresenter @ScrollViewer#PART_ScrollViewer	0
ana-kaydedici	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAppliedDismiss	×
ana-kaydedici	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeDismiss	×
ana-gelismis	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAppliedDismiss	×
ana-gelismis	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeDismiss	×
ana-ayarlar	edilgen	yazi	3.87	#121216	#71717A	Grid > ContentControl#SelectionBox > ContentPresenter#PART_ContentPresenter > TextBlock @ContentControl#SelectionBox	English
ana-ayarlar	edilgen	yazi	3.87	#111216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnOpenSubtitlesKey	Get a Key
ana-ayarlar	edilgen	yazi	3.87	#111216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnOpenSubtitlesSignIn	Sign in
ana-ayarlar	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAppliedDismiss	×
ana-ayarlar	edilgen	yazi	3.87	#121216	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeDismiss	×
kucultme-isi	edilgen	yazi	3.87	#121216	#71717A	Grid > ContentControl#SelectionBox > ContentPresenter#PART_ContentPresenter > TextBlock @ContentControl#SelectionBox	Hiçbir Şey Yapma
acilir-liste	edilgen	yazi	3.87	#121216	#71717A	ComboBoxItem > Border#ItemBorder > ContentPresenter#PART_ContentPresenter > TextBlock	Örnek seçenek
ana-kucult	edilgen	yazi	3.88	#111215	#71717A	CheckBox#ChkWhatsAppCompatible > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkWhatsAppCompatible	WhatsApp Compatible (H.264)
ana-kucult	edilgen	yazi	3.88	#111215	#71717A	RadioButton#RbFltColor601 > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFltColor601	BT.601
ana-kucult	edilgen	simge	3.89	#111115	#71717A	CheckBox#ChkFps > Grid > Panel > Path#CheckMark @CheckBox#ChkFps	CheckMark
ana-kucult	edilgen	yazi	3.89	#111115	#71717A	RadioButton#RbFltDeintOn > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFltDeintOn	On
ana-kaydedici	edilgen	yazi	3.89	#111115	#71717A	CheckBox#ChkShowClicks > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkShowClicks	Show clicks with a ring
ana-ayarlar	edilgen	yazi	3.89	#111115	#71717A	CheckBox#ChkFollowRecording > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkFollowRecording	Follow the Recording in Every Tab
ana-kucult	edilgen	yazi	3.90	#101114	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnShareCancel	Cancel the Upload
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#ChipArchive	Archive
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#Chip134	134
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#Chip180	180
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnPresetUndo	Undo
ana-kucult	edilgen	simge	3.91	#101114	#71717A	Panel > ContentPresenter#PART_ContentPresenter > Grid > Path#GlyphQuality @Button#BtnQualityToggle	GlyphQuality
